20040105	449000	457500	447500	457500
20040106	467000	467000	458500	460000
20040107	463500	469000	462000	465000
20040108	471000	477500	468500	469000
20040109	480000	512000	478000	508000
20040112	505000	510000	498000	505000
20040113	508000	509000	500000	503000
20040114	491000	499500	491000	494500
20040115	495000	500000	490500	496500
20040116	501000	507000	500000	506000
20040119	509000	524000	507000	521000
20040120	521000	530000	515000	526000
20040126	542000	555000	535000	545000
20040127	554000	554000	530000	535000
20040128	538000	548000	532000	538000
20040129	541000	541000	528000	533000
20040130	533000	534000	521000	524000
20040202	524000	530000	520000	530000
20040203	515000	524000	514000	517000
20040204	514000	517000	509000	509000
20040205	505000	515000	503000	512000
20040206	516000	535000	514000	527000
20040209	536000	546000	535000	543000
20040210	547000	550000	538000	546000
20040211	550000	559000	548000	554000
20040212	560000	560000	546000	549000
20040213	545000	555000	542000	555000
20040216	555000	566000	551000	563000
20040217	561000	571000	556000	560000
20040218	563000	568000	549000	549000
20040219	551000	555000	545000	555000
20040220	547000	554000	544000	549000
20040223	545000	552000	539000	547000
20040224	540000	544000	529000	531000
20040225	528000	529000	522000	525000
20040226	527000	532000	523000	526000
20040227	520000	545000	520000	545000
20040302	555000	558000	549000	554000
20040303	555000	559000	552000	554000
20040304	554000	569000	552000	569000
20040305	571000	571000	564000	564000
20040308	561000	563000	547000	549000
20040309	540000	545000	535000	539000
20040310	538000	542000	530000	531000
20040311	529000	541000	528000	533000
20040312	530000	533000	507000	524000
20040315	532000	533000	525000	525000
20040316	517000	528000	514000	528000
20040317	534000	547000	532000	545000
20040318	548000	548000	537000	544000
20040319	541000	555000	540000	555000
20040322	550000	554000	541000	544000
20040323	535000	544000	532000	541000
20040324	540000	545000	535000	542000
20040325	545000	547000	531000	535000
20040326	547000	554000	543000	545000
20040329	549000	561000	548000	555000
20040330	562000	565000	557000	560000
20040331	568000	572000	563000	572000
20040401	570000	575000	568000	575000
20040402	578000	579000	565000	565000
20040406	584000	595000	582000	595000
20040407	595000	607000	591000	600000
20040408	605000	605000	597000	605000
20040409	599000	600000	590000	595000
20040412	595000	614000	594000	610000
20040413	615000	622000	612000	616000
20040414	616000	616000	608000	615000
20040416	610000	610000	592000	594000
20040419	595000	599000	591000	599000
20040420	607000	615000	599000	615000
20040421	613000	627000	608000	625000
20040422	625000	631000	617000	620000
20040423	625000	637000	622000	637000
20040426	637000	638000	626000	626000
20040427	626000	629000	615000	618000
20040428	618000	619000	601000	602000
20040429	585000	590000	572000	576000
20040430	560000	571000	549000	557000
20040503	557000	561000	546000	556000
20040504	556000	564000	550000	555000
20040506	548000	550000	526000	528000
20040507	525000	540000	518000	540000
20040510	530000	534000	492000	509000
20040511	509000	516000	499000	501000
20040512	515000	530000	511000	525000
20040513	520000	525000	507000	507000
20040514	511000	516000	485500	491500
20040517	488000	492000	458000	458000
20040518	450500	478000	448000	473500
20040519	479000	506000	478500	500000
20040520	496000	509000	487000	494500
20040521	499500	502000	493500	502000
20040524	514000	515000	506000	511000
20040525	502000	503000	491500	492000
20040527	511000	513000	505000	506000
